ticket_id,created_at,customer_id,region,subject,description,affected_service,channel,status
TKT0001,2024-04-01 14:15:00,CUST27464,Kochi,No signal since morning,Customer is getting no signal since 7 AM. Phone shows 'No Service'. Restarting phone did not help. Neighbours also facing the same issue.,Mobile Data,Walk-in,Pending Customer
TKT0002,2024-09-28 09:39:00,CUST74130,Delhi,Calls dropping every few minutes,Customer reports calls getting cut after 1-2 minutes of talking. Issue started 2 days ago. Happens with all numbers dialled.,Voice Call,App,In Progress
TKT0003,2024-10-28 13:50:00,CUST59018,Pune,Internet very slow after recharge,Customer recharged with Rs. 299 plan but internet speed is very slow. Videos keep buffering. Balance shows data available.,Mobile Data,Walk-in,Pending Customer
TKT0004,2024-03-18 21:42:00,CUST33462,Kochi,No internet in basement office,Customer working in a basement office gets no mobile internet. Signal shows 1 bar only. Wi-Fi also unavailable.,Mobile Data,Email,Closed
TKT0005,2024-09-27 09:30:00,CUST51468,Patna,Network keeps switching between 4G and 2G,Customer reports network constantly switching between 4G and 2G. Internet disconnects every few minutes. Very frustrating during work calls.,Mobile Data,SMS,Pending Customer
TKT0006,2024-01-04 20:13:00,CUST57517,Kochi,Outgoing calls not connecting,Customer unable to make outgoing calls. Gets busy tone immediately even though balance is available. Incoming calls work fine.,Voice Call,Walk-in,Open
TKT0007,2024-04-11 21:03:00,CUST56861,Indore,WhatsApp calls breaking badly,Customer says WhatsApp calls are very choppy and breaking. Normal calls are fine. Data balance is available. Problem started 3 days ago.,Wi-Fi Calling,Walk-in,Open
TKT0008,2024-03-23 21:38:00,CUST33281,Hyderabad,Fiber internet down since last night,Customer subscribed to fiber plan. Internet went down at 11 PM last night. Router internet light is red. Neighbours also affected.,Fiber Broadband,SMS,In Progress
TKT0009,2024-02-26 07:10:00,CUST72092,Vadodara,Mobile data not working after phone change,Customer bought a new Samsung phone and inserted existing SIM. Calls work but mobile internet not working. Old phone worked fine with same SIM.,Mobile Data,Phone,Resolved
TKT0010,2024-11-19 09:09:00,CUST50607,Coimbatore,Signal problem near highway,Customer travelling frequently on NH-44 reports complete signal loss for 30 km stretch. Very inconvenient for work calls during daily commute.,Voice Call,App,Open
TKT0011,2024-03-10 19:12:00,CUST17261,Bhubaneswar,Complete network outage in our area,"Customer reporting complete network outage. No calls, no internet. Multiple neighbours also affected. Issue since 6 AM today.",Mobile Data,WhatsApp,Open
TKT0012,2024-07-25 11:22:00,CUST72409,Pune,No service for past 6 hours,Customer has no network service for last 6 hours. Phone shows emergency calls only. Tried restarting multiple times. SIM works in another phone.,Voice Call,Walk-in,Pending Customer
TKT0013,2024-11-03 11:38:00,CUST63516,Mumbai,Internet outage affecting entire apartment,Customer says all 50+ flats in the apartment have no fiber internet since yesterday morning. Router lights are off.,Fiber Broadband,SMS,In Progress
TKT0014,2024-05-31 12:11:00,CUST63723,Bangalore,Planned maintenance not completed on time,Customer received SMS about maintenance from 2 AM to 5 AM but service has still not restored at 9 AM. Work from home severely affected.,Mobile Data,Email,Open
TKT0015,2024-06-12 22:51:00,CUST40658,Hyderabad,Network down after heavy rain in Chennai,Customer reporting complete network down since last evening after heavy rains. Surrounding area also affected. Urgent — elderly parent needs to be reachable.,Voice Call,Walk-in,Closed
